category,name,mrp,discountpercent,availablequantity,discountedsellingprice,weightingms,outofstock,quantity,discountamount,discountpercent_calculated
Fruits & Vegetables,Beans Broad,42.0,16,3,35.0,250,False,250,7.0,16.666666666666664
Fruits & Vegetables,Raw Banana,20.0,15,6,17.0,500,False,500,3.0,15.0
Fruits & Vegetables,Colocasia ,29.0,17,6,24.0,500,False,500,5.0,17.24137931034483
Fruits & Vegetables,Tomato Cherry ,35.0,17,3,29.0,200,False,200,6.0,17.142857142857142
Fruits & Vegetables,Sweet Potato ,38.0,15,3,32.0,500,False,500,6.0,15.789473684210526
Fruits & Vegetables,Pineapple Slice,89.0,15,3,75.0,200,False,200,14.0,15.730337078651685
Fruits & Vegetables,Orange,54.0,16,3,45.0,116,False,2,9.0,16.666666666666664
Fruits & Vegetables,Dragon Fruit Imported,70.0,15,3,59.0,58,False,1,11.0,15.714285714285714
Fruits & Vegetables,Zucchini Yellow,42.0,16,3,35.0,250,False,500,7.0,16.666666666666664
Fruits & Vegetables,Apple Kinnaur,142.0,16,6,119.0,232,False,4,23.0,16.19718309859155
Fruits & Vegetables,Pineapple,94.0,15,3,79.0,58,False,1,15.0,15.957446808510639
Fruits & Vegetables,Basil,20.0,15,3,17.0,100,False,100,3.0,15.0
Fruits & Vegetables,Parsley,17.0,17,3,14.0,100,False,100,3.0,17.647058823529413
Fruits & Vegetables,Ridge Gourd,30.0,16,3,25.0,500,False,500,5.0,16.666666666666664
Fruits & Vegetables,Papaya Cut,46.0,15,3,39.0,200,False,200,7.0,15.217391304347828
Fruits & Vegetables,Pomegranate Peeled,58.0,15,2,49.0,100,False,100,9.0,15.517241379310345
Fruits & Vegetables,Pear Green Imported,82.0,15,3,69.0,116,False,2,13.0,15.853658536585366
Fruits & Vegetables,Guava Thai,70.0,15,3,59.0,116,False,2,11.0,15.714285714285714
Fruits & Vegetables,Lettuce Red,20.0,15,3,17.0,100,False,100,3.0,15.0
Fruits & Vegetables,Mango Raw,60.0,16,3,50.0,500,False,500,10.0,16.666666666666664
Fruits & Vegetables,Biryani /Pulav Mix,58.0,15,3,49.0,250,False,250,9.0,15.517241379310345
